station,mape,daily_avg,cv,weekend_ratio,season_ratio,spike_pct
8th & H St NW,26.51976278859464,60.555403556771545,0.39647573076351883,0.9482973421638966,1.978650926628844,0.0
New Jersey Ave & R St NW,26.526645915376495,36.36046511627907,0.413379730955379,1.03391192924974,1.830925052580198,0.0
14th & V St NW,26.560420910031713,96.91313269493844,0.38870643405633976,1.158956648110246,1.8615679160543537,0.0
Florida Ave & R St NW,26.763411835674734,37.49794801641587,0.40827117589542933,1.148066012604457,1.7830522142329144,0.0
17th & K St NW,27.015259223877063,51.864569083447336,0.4590381710403962,0.5520872843027191,1.9021400352329232,0.0
Georgia Ave & Morton St NW,27.085139208562243,32.83036935704514,0.5408254290887929,1.2598425522795784,1.9130434782608696,0.5469462169553327
16th & Harvard St NW,27.25280804854385,43.93160054719562,0.5123297553831879,1.0953681413591685,2.008409599073043,0.0
3rd & G St SE,27.254433153580155,34.86662106703147,0.42707377524712187,0.7466484911610404,2.017788393703009,0.0
Adams Mill & Columbia Rd NW,27.37152832893693,77.62448700410397,0.4505648990229609,1.1722429567676669,1.7718415218237513,0.0
23rd & M St NW,27.503355512291762,57.14158686730506,0.37102281128780307,0.8350530155879831,1.8923517054143368,0.0
11th & Girard St NW,27.54834949753457,46.62995896032832,0.4119715335927531,0.9531084786414721,1.6014492753623188,0.0
Massachusetts Ave & Dupont Circle NW,27.576999301614375,69.03351573187415,0.4540380278775611,1.1810118543416335,2.0667057217808718,0.0
14th & Irving St NW,27.610566330467,76.60328317373461,0.43696996517279657,0.9710650452289982,1.6997360658282876,0.0
14th & D St SE,27.68085104242533,27.591655266757865,0.37792155825053586,1.0143423392846846,1.8247406991173234,0.0
14th & Newton St NW,27.762746782551407,34.13679890560876,0.4119310057216471,0.9890365858635584,1.8488976708166418,0.0
10th St & Florida Ave NW,27.766337838967342,38.32900136798906,0.6729888597166109,1.0667587518264434,1.718967009332932,0.0
22nd & I St NW / Foggy Bottom,27.819774019987374,49.37277701778386,0.3902033715875488,0.8069899338277499,1.8416044503001026,0.0
8th & H St NE,27.857446429674138,27.367305061559506,0.38769797168768255,0.9562748228662988,1.7056374355195285,0.18231540565177756
Columbia & Ontario Rd NW,27.918892250641637,58.452120383036934,0.40950958267452153,0.9881181945137143,1.7725710089783382,0.09115770282588878
10th & H St NE,28.000721578547584,25.230506155950753,0.4422867705866348,1.0231456917127735,1.8400379874668111,0.18231540565177756
1st & O St NW,28.1150867615985,30.850889192886456,0.3490967241468387,0.8551428894908633,1.5416694753398492,0.0
Lincoln Park / 13th & East Capitol St NE ,28.201102131115118,43.43844049247606,0.4093437899854882,0.9948611552671104,1.964002285841959,0.0
5th & Morse St NE,28.538721177218758,31.90218878248974,0.8393820831004898,1.2960172126175311,1.850084490876048,1.9143117593436645
20th & O St NW / Dupont South,28.594701421395442,56.53761969904241,0.4121256245540932,0.9714018299427074,2.0045542270961043,0.09115770282588878
3rd & H St NW,28.774695555763756,37.47332421340629,0.42194340989829454,0.8412964379565515,1.7822934281046687,0.0
16th & R St NW,28.86153206431889,39.88714090287278,0.3844040133997528,1.0239689811266255,1.8259153938863657,0.0
6th & K St NE,28.95024051201372,25.99794801641587,0.3867522147882277,0.9267353430294875,1.7280098188715736,0.0
25th St & Pennsylvania Ave NW,28.984930517728095,50.82079343365253,0.4197739001855699,1.0875738170569869,2.1881691015268805,0.0
7th & F St NW / National Portrait Gallery,28.986044116600624,51.0499316005472,0.39942135082187147,1.0116821226711952,1.888023293150155,0.0
15th & F St NE,29.063836413545808,19.802325581395348,0.4214042587244316,0.8201592271580647,1.7597048101716013,0.0
Rhode Island & Connecticut Ave NW,29.085560771699242,32.47332421340629,0.4408741464680603,0.691718570859153,1.909954564229657,0.0
Grant Circle,29.11015988790759,17.120383036935703,0.5814471443580257,0.8817984412080795,2.2311281409654886,0.18231540565177756
1st & Rhode Island Ave NW,29.16905314845679,50.83584131326949,0.3718175280393461,1.0715996567292685,1.7271835462740013,0.0
7th & K St NW,29.38126004656611,55.92270861833105,0.44168383148372997,0.7462647577071684,1.832695903260085,0.0
11th & Clifton St NW,29.38421456368026,26.98221614227086,0.750566371142091,0.8931367489377418,1.3660225442834137,0.0
3rd & Elm St NW,29.466748202246524,36.578659370725035,0.34859723382015906,1.0319689685693956,1.7683215130023642,0.0
