station,daily_avg,total_trips,mape,rmse,mae,correlation,mape_rank
Rhode Island & Connecticut Ave NW,32.47332421340629,47476,29.085560771699242,8.926624028315063,6.811140197763675,0.7380819545718252,57.0
Grant Circle,17.120383036935703,25030,29.11015988790759,7.135323906292181,5.764514256769395,0.6835033390368422,58.0
1st & Rhode Island Ave NW,50.83584131326949,74322,29.16905314845679,16.972780847178743,13.34835353428011,0.7754590965177803,59.0
7th & K St NW,55.92270861833105,81759,29.38126004656611,15.647728696494857,11.807756441958388,0.8017091743929371,60.0
11th & Clifton St NW,26.98221614227086,39448,29.38421456368026,11.919301853080796,9.637586699856207,0.6758644010473853,61.0
3rd & Elm St NW,36.578659370725035,53478,29.466748202246524,10.838412016461852,8.323199962250815,0.7466319355872311,62.0
New Jersey Ave & K St NW,22.01983584131327,32193,29.75402803357777,18.348833115834683,12.787377655778377,0.42652100032477164,63.0
11th & O St NW,46.53761969904241,68038,29.83248909084986,13.628423576671773,10.801648835744755,0.754914539228256,64.0
Pentagon City Metro / 12th St & S Hayes St,18.74076607387141,27399,29.920250119989976,6.271650464088123,4.776788628608073,0.7813993625449899,65.0
Tanner Park,42.60054719562243,62282,29.979713039152774,14.524073716906953,12.074818256674446,0.7504005714894302,66.0
9th & Upshur St NW,23.96238030095759,35033,30.271534478602657,9.102143824879393,6.87503434568151,0.746358561691438,67.0
7th & Monroe St NE,16.580711354309166,24241,30.5043359043322,7.98740157789521,6.297127622399928,0.8072551998145068,68.0
New York Ave & Hecht Ave NE,25.473324213406293,37242,30.57873299284255,8.199389975667577,6.426042196300166,0.7498217070778503,69.0
10th & K St NW,39.16142270861833,57254,30.908868697520216,10.839554276451292,8.354025510148999,0.7628560115449139,70.0
11th & M St NW,72.07523939808482,105374,31.00563924924371,21.957335693904874,17.190485424907983,0.7736496560191707,71.0
New Hampshire Ave & 24th St NW,46.458960328317374,67923,31.197214497745595,15.197129575153731,12.040582725246386,0.7651085252768193,72.0
North Capitol & R St NE,25.48016415868673,37252,31.511667008901867,9.161725738997033,7.321917910839779,0.7671257915125697,73.0
13th & D St NE,29.877564979480166,43681,31.959524923246498,9.07161242843053,7.023771188785716,0.7636285232069459,74.0
Vermont Ave & I St NW,39.65389876880985,57974,32.12615712669519,11.684869669988483,9.117647417244727,0.7800038153602972,75.0
15th & East Capitol St NE,20.480848153214776,29943,32.494935243144,6.110419831392636,4.705458300751769,0.7461380560016991,76.0
11th & S St NW,46.41039671682626,67852,32.769672329793806,14.900171738796978,11.732194367837835,0.7838625783923552,77.0
8th & D St NW,25.966484268125853,37963,32.82328557535963,9.876974483963282,7.29564870381515,0.7530952219319932,78.0
3rd & H St NE,49.06497948016416,71733,33.26490522275638,15.846602951428101,12.70372924032362,0.7635460965963194,79.0
8th & V St NW,47.32216142270862,69185,33.290586193921285,18.756049686268508,15.399914483878167,0.7783937415337856,80.0
18th St & Wyoming Ave NW,66.24829001367989,96855,33.602941064745416,21.508910967974252,17.430509764134335,0.7276393729872843,81.0
4th & W St NE,18.145690834473324,26529,33.76226158998384,6.8512377777917495,5.506663682803443,0.7586980619719794,82.0
11th & V St NW,27.3734610123119,40020,33.78999689956779,11.473670155207774,9.139004169236674,0.7352995229877215,83.0
15th & W St NW,74.94049247606019,109563,34.10593020569369,28.36870028738044,23.485680411058354,0.7639815687423727,84.0
11th & F St NW,20.694938440492475,30256,34.24479764575761,9.179881119832963,7.1278751038717045,0.7255105448956093,85.0
2nd & G St NE,39.48837209302326,57732,34.77772743459212,12.121052398230228,9.640038756280118,0.7073066117181381,86.0
18th & L St NW,32.16826265389877,47030,34.81625809677437,8.728738327707049,6.769144226659572,0.8627024808156516,87.0
1st & Washington Hospital Center NW,15.811901504787961,23117,34.956187873997244,6.053846185813412,4.813937319683718,0.8062886806062263,88.0
Wisconsin Ave & O St NW,45.75376196990424,66892,34.95812644227736,18.24702747762414,14.427180922969479,0.7452342793018234,89.0
14th & Upshur St NW,13.12859097127223,19194,34.959837967674055,6.98991812991097,5.346808941038955,0.7232716584804874,90.0
Van Ness Metro / UDC,15.60328317373461,22812,35.02753427734343,7.273481564088122,5.75597633503697,0.7279071822382518,91.0
20th St & Florida Ave NW,37.620383036935706,55001,35.12607072767714,12.553899438462913,10.300112696272528,0.7573076570093873,92.0
13th & H St NE,42.60533515731874,62289,35.15108477902108,18.818767944856205,15.307597324199088,0.7560896063861348,93.0
Calvert St & Woodley Pl NW,33.22024623803009,48568,35.151496078919706,12.821895435206438,10.25811249862096,0.698779475295705,94.0
Edgewood Rec Center,15.419972640218878,22544,35.162665369551185,6.788367421117314,5.25938852771213,0.6608875720111216,95.0
15th St & Massachusetts Ave SE,20.45280437756498,29902,35.174958821568474,7.480421061325495,6.061016637568012,0.6838128946184627,96.0
3rd St & Pennsylvania Ave SE,39.705198358413135,58049,35.27267615805732,12.32161917391432,9.6307278825024,0.7687908644505398,97.0
Virginia Square Metro / Monroe St & 9th St N,16.202462380300958,23688,35.2899728842075,6.480167253277885,5.097539269021408,0.7150683789453676,98.0
6th St & Indiana Ave NW,33.627906976744185,49164,35.48622346056973,10.692261278937014,8.058543299991634,0.7634497570134717,99.0
Potomac & Pennsylvania Ave SE,26.887140902872776,39309,35.498735905569454,8.216097462429337,6.6771765954756095,0.8105469465173679,100.0
15th & L St NW,28.45075239398085,41595,35.69177080073667,12.864139430567256,9.847027722366622,0.7797120869698457,101.0
11th & Park Rd NW,40.093023255813954,58616,36.06398683580447,17.207709559360392,13.606231546867967,0.7203917848308982,102.0
13th St & New York Ave NW,25.729138166894664,37616,36.095688020380905,8.628044732055342,6.622177127090207,0.7804722313004909,103.0
North Capitol St & F St NW,34.0984952120383,49852,36.17565617805502,10.73585417655355,8.233596779318487,0.7825219520212888,104.0
Georgia & Missouri Ave NW,11.752393980848153,17182,36.242880634316066,6.208429768975186,4.943266495126233,0.6473129189442264,105.0
North Capitol St & G Pl NE,16.307113543091656,23841,36.33913726952382,6.245952398993958,4.863611348479914,0.7962059995257035,106.0
24th & N St NW,25.753077975376197,37651,36.53022237987392,8.137038296120663,6.248059187367129,0.7727279196850264,107.0
Woodley Park Metro / Calvert St & Connecticut Ave NW,35.04924760601915,51242,36.65798948664989,13.301415165824526,9.80698738410059,0.7300596618365104,108.0
Massachusetts Ave & 6th St NE,26.01983584131327,38041,36.72943006299558,8.461434635472463,6.691799027890104,0.728275485494732,109.0
3rd & Tingey St SE,25.745554035567714,37640,36.78226467178459,9.983610255588484,8.013909714781821,0.751535408762715,110.0
Rhode Island Ave Metro,15.635430916552668,22859,37.005812627756846,7.842865670596969,6.425772953164412,0.5607152100418902,111.0
18th & M St NW,38.77017783857729,56682,37.068671533771955,11.815732648413569,9.539691370150688,0.7828467033609946,112.0
1st & H St NW,26.610807113543093,38905,37.25238783058378,12.953268050232376,10.414324872374866,0.6941154060730884,113.0
Potomac & M St NW,44.80437756497948,65504,37.326619302970705,20.049503969814964,14.610702250663728,0.6925798089001015,114.0
